"No.","Time","Source","Destination","Protocol","Length","Info"
"2804","54.207927","2.19.159.139","10.20.0.165","TCP","1514","80  >  1762 [ACK] Seq=37961 Ack=301 Win=6432 Len=1460 [TCP segment of a reassembled PDU]"
"2805","54.208080","10.20.0.165","2.19.159.139","TCP","54","1762  >  80 [ACK] Seq=301 Ack=39421 Win=37795 Len=0"
"2806","54.208164","2.19.159.139","10.20.0.165","TCP","1514","80  >  1762 [ACK] Seq=39421 Ack=301 Win=6432 Len=1460 [TCP segment of a reassembled PDU]"
"2807","54.208213","209.85.143.101","10.20.0.165","TCP","1484","80  >  1764 [ACK] Seq=356 Ack=297 Win=6432 Len=1430 [TCP segment of a reassembled PDU]"
"2808","54.208265","10.20.0.165","209.85.143.101","TCP","54","1764  >  80 [ACK] Seq=297 Ack=1786 Win=65535 Len=0"
"2809","54.208290","209.85.143.101","10.20.0.165","HTTP","508","HTTP/1.1 200 OK  (text/javascript)"
"2810","54.222370","2.19.159.139","10.20.0.165","TCP","1514","80  >  1762 [ACK] Seq=40881 Ack=301 Win=6432 Len=1460 [TCP segment of a reassembled PDU]"
"2811","54.222428","10.20.0.165","2.19.159.139","TCP","54","1762  >  80 [ACK] Seq=301 Ack=42341 Win=34875 Len=0"
"2812","54.222920","2.19.159.139","10.20.0.165","TCP","1514","80  >  1762 [ACK] Seq=42341 Ack=301 Win=6432 Len=1460 [TCP segment of a reassembled PDU]"
"2813","54.222969","2.19.159.139","10.20.0.165","HTTP","1012","HTTP/1.1 200 OK  (application/x-javascript)"
"2814","54.223014","10.20.0.165","2.19.159.139","TCP","54","1762  >  80 [ACK] Seq=301 Ack=44759 Win=32457 Len=0"
"2815","54.365319","10.20.0.165","209.85.143.101","TCP","54","1764  >  80 [ACK] Seq=297 Ack=2240 Win=65081 Len=0"
"2816","54.672084","10.20.0.165","2.19.156.20","HTTP","365","GET /js/250/plugin.sharecounter.js HTTP/1.1 "
"2817","54.673152","10.20.0.165","195.7.33.37","HTTP","798","GET /newspaper/mostread/pagelog.cfm?action=1&arturl=/newspaper/breaking/2011/1011/breaking5.html&md5hash=69decc3ec3d4719f086e3fcb8c53f7bb&headline=Kenny%20hopeful%20of%20progress%20in%20efforts%20to%20tackle%20debt%20crisis&premium=1 HTTP/1.1 "
"2818","54.678350","10.20.0.165","2.19.159.139","TCP","54","[TCP Window Update] 1762  >  80 [ACK] Seq=301 Ack=44759 Win=65535 Len=0"
"2819","54.697473","2.19.156.20","10.20.0.165","TCP","1514","80  >  1758 [ACK] Seq=42204 Ack=1224 Win=9648 Len=1460 [TCP segment of a reassembled PDU]"
"2820","54.698260","2.19.156.20","10.20.0.165","TCP","1514","80  >  1758 [ACK] Seq=43664 Ack=1224 Win=9648 Len=1460 [TCP segment of a reassembled PDU]"
"2821","54.698311","10.20.0.165","2.19.156.20","TCP","54","1758  >  80 [ACK] Seq=1224 Ack=45124 Win=65535 Len=0"
"2822","54.698337","2.19.156.20","10.20.0.165","HTTP","409","HTTP/1.1 200 OK  (application/x-javascript)"
"2823","54.721596","195.7.33.37","10.20.0.165","HTTP","353","HTTP/1.1 200 OK  (text/html)"
"2824","54.721696","10.20.0.165","195.7.33.37","TCP","54","1727  >  80 [ACK] Seq=31787 Ack=532944 Win=64238 Len=0"
"2825","54.868144","10.20.0.165","2.19.156.20","TCP","54","1758  >  80 [ACK] Seq=1224 Ack=45479 Win=65180 Len=0"
"2826","54.949427","10.20.0.165","89.101.160.4","DNS","75","Standard query 0xbcdd A ssl.gstatic.com"
"2827","54.971320","10.20.0.165","209.85.143.154","SSLv3","1409","Application Data"
"2828","54.976160","89.101.160.4","10.20.0.165","DNS","91","Standard query response 0xbcdd A ssl.gstatic.com A 209.85.143.120"
"2829","54.976752","10.20.0.165","209.85.143.120","TCP","62","1765  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2830","54.992742","209.85.143.120","10.20.0.165","TCP","62","443  >  1765 [SYN, ACK] Seq=0 Ack=1 Win=5720 Len=0 MSS=1430 SACK_PERM"
"2831","54.992784","10.20.0.165","209.85.143.120","TCP","54","1765  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2832","55.008353","10.20.0.165","209.85.143.120","SSLv2","132","Client Hello"
"2833","55.010247","209.85.143.154","10.20.0.165","SSLv3","808","Application Data"
"2834","55.023192","209.85.143.120","10.20.0.165","TCP","60","443  >  1765 [ACK] Seq=1 Ack=79 Win=5720 Len=0"
"2835","55.023249","209.85.143.120","10.20.0.165","SSLv3","1484","Server Hello"
"2836","55.023294","209.85.143.120","10.20.0.165","SSLv3","323","Certificate, Server Hello Done"
"2837","55.023365","10.20.0.165","209.85.143.120","TCP","54","1765  >  443 [ACK] Seq=79 Ack=1700 Win=65535 Len=0"
"2838","55.024099","10.20.0.165","209.85.143.120","SSLv3","262","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"2839","55.042848","10.20.0.165","89.101.160.4","DNS","82","Standard query 0x7cdc A api-public.addthis.com"
"2840","55.043161","209.85.143.120","10.20.0.165","SSLv3","125","Change Cipher Spec, Encrypted Handshake Message"
"2841","55.044177","10.20.0.165","209.85.143.120","SSLv3","418","Application Data"
"2842","55.060471","89.101.160.4","10.20.0.165","DNS","177","Standard query response 0x7cdc A api-public.addthis.com CNAME wildcard.addthis.com.edgekey.net CNAME e2943.c.akamaiedge.net A 2.19.156.20"
"2843","55.061278","10.20.0.165","2.19.156.20","TCP","62","1766  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2844","55.085873","209.85.143.120","10.20.0.165","SSLv3","1133","Application Data, Application Data"
"2845","55.116715","2.19.156.20","10.20.0.165","TCP","62","80  >  1766 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM"
"2846","55.116816","10.20.0.165","2.19.156.20","TCP","54","1766  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2847","55.141841","10.20.0.165","195.7.33.37","TCP","54","1727  >  80 [FIN, ACK] Seq=31787 Ack=532944 Win=64238 Len=0"
"2848","55.156474","10.20.0.165","2.19.156.20","HTTP","531","GET /url/shares.json?url=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html&callback=_ate.cbs.sc_httpwwwirishtimescomnewspaperbreaking20111011breaking5html80 HTTP/1.1 "
"2849","55.156789","195.7.33.37","10.20.0.165","TCP","60","80  >  1727 [ACK] Seq=532944 Ack=31788 Win=8190 Len=0"
"2850","55.169874","10.20.0.165","209.85.143.154","TCP","54","1760  >  443 [ACK] Seq=1642 Ack=2688 Win=64710 Len=0"
"2851","55.183407","2.19.156.20","10.20.0.165","TCP","60","80  >  1766 [ACK] Seq=1 Ack=478 Win=6432 Len=0"
"2852","55.183465","2.19.156.20","10.20.0.165","HTTP","349","HTTP/1.1 200 OK  (application/javascript)"
"2853","55.189535","10.20.0.165","2.19.156.20","HTTP","440","GET /static/r07/sh58.html HTTP/1.1 "
"2854","55.218146","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=1117 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2855","55.218211","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=2577 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2856","55.218263","10.20.0.165","2.19.156.20","TCP","54","1761  >  80 [ACK] Seq=693 Ack=4037 Win=65535 Len=0"
"2857","55.218290","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=4037 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2858","55.218352","10.20.0.165","2.19.156.20","TCP","54","1761  >  80 [ACK] Seq=693 Ack=5497 Win=65535 Len=0"
"2859","55.218610","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=5497 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2860","55.218675","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=6957 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2861","55.218720","10.20.0.165","2.19.156.20","TCP","54","1761  >  80 [ACK] Seq=693 Ack=8417 Win=65535 Len=0"
"2862","55.242228","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=8417 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2863","55.242296","10.20.0.165","2.19.156.20","TCP","54","1761  >  80 [ACK] Seq=693 Ack=9877 Win=65535 Len=0"
"2864","55.242324","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=9877 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2865","55.242940","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=11337 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2866","55.243000","10.20.0.165","2.19.156.20","TCP","54","1761  >  80 [ACK] Seq=693 Ack=12797 Win=62615 Len=0"
"2867","55.244691","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=12797 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2868","55.246225","2.19.156.20","10.20.0.165","TCP","1514","80  >  1761 [ACK] Seq=14257 Ack=693 Win=7504 Len=1460 [TCP segment of a reassembled PDU]"
"2869","55.246287","10.20.0.165","2.19.156.20","TCP","54","1761  >  80 [ACK] Seq=693 Ack=15717 Win=59695 Len=0"
"2870","55.246377","2.19.156.20","10.20.0.165","HTTP","1021","HTTP/1.1 200 OK  (text/html)"
"2871","55.257905","10.20.0.165","2.19.156.20","TCP","54","1761  >  80 [ACK] Seq=693 Ack=16684 Win=62488 Len=0"
"2872","55.258645","10.20.0.165","2.19.156.20","HTTP","356","GET /static/t00/nsc01.gif HTTP/1.1 "
"2873","55.270443","10.20.0.165","209.85.143.120","TCP","54","1765  >  443 [ACK] Seq=651 Ack=2850 Win=64385 Len=0"
"2874","55.286478","2.19.156.20","10.20.0.165","TCP","1514","80  >  1758 [ACK] Seq=45479 Ack=1526 Win=10720 Len=1460 [TCP segment of a reassembled PDU]"
"2875","55.286538","2.19.156.20","10.20.0.165","TCP","1514","80  >  1758 [ACK] Seq=46939 Ack=1526 Win=10720 Len=1460 [TCP segment of a reassembled PDU]"
"2876","55.286586","10.20.0.165","2.19.156.20","TCP","54","1758  >  80 [ACK] Seq=1526 Ack=48399 Win=65535 Len=0"
"2877","55.286612","2.19.156.20","10.20.0.165","HTTP","948","HTTP/1.1 200 OK  (GIF89a)"
"2878","55.286673","10.20.0.165","2.19.156.20","TCP","54","1758  >  80 [ACK] Seq=1526 Ack=49293 Win=64641 Len=0"
"2879","55.317358","10.20.0.165","89.101.160.4","DNS","76","Standard query 0x56da A www.facebook.com"
"2880","55.324776","10.20.0.165","2.19.156.20","TCP","54","[TCP Window Update] 1761  >  80 [ACK] Seq=693 Ack=16684 Win=65535 Len=0"
"2881","55.331442","89.101.160.4","10.20.0.165","DNS","92","Standard query response 0x56da A www.facebook.com A 69.63.190.10"
"2882","55.332020","10.20.0.165","69.63.190.10","TCP","62","1767  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2883","55.350023","10.20.0.165","69.63.190.10","TCP","62","1768  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2884","55.371118","10.20.0.165","2.19.156.20","TCP","54","1766  >  80 [ACK] Seq=478 Ack=296 Win=65240 Len=0"
"2885","55.424536","10.20.0.165","89.101.160.4","DNS","74","Standard query 0xb7da A cf.addthis.com"
"2886","55.425038","10.20.0.165","89.101.160.4","DNS","76","Standard query 0x69d9 A l.addthiscdn.com"
"2887","55.434506","69.63.190.10","10.20.0.165","TCP","62","80  >  1767 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1460 SACK_PERM"
"2888","55.434551","10.20.0.165","69.63.190.10","TCP","54","1767  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2889","55.440019","10.20.0.165","69.63.190.10","HTTP","905","GET /plugins/like.php?action=like&api_key=172525162793917&channel_url=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html%3Ffb_xd_fragment%23%3F%3D%26cb%3Df3fbc52f9970164%26relation%3Dparent.parent%26transport%3Dfragment&extended_social_context=false&font=arial&href=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html&layout=button_count&locale=en_US&node_type=1&ref=.TpQt7s347j8.like&sdk=joey&show_faces=false&width=90 HTTP/1.1 "
"2890","55.452644","69.63.190.10","10.20.0.165","TCP","62","80  >  1768 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1460 SACK_PERM"
"2891","55.452681","10.20.0.165","69.63.190.10","TCP","54","1768  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2892","55.457742","10.20.0.165","69.63.190.10","TCP","1514","1768  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2893","55.458167","10.20.0.165","69.63.190.10","HTTP","194","GET /extern/login_status.php?api_key=172525162793917&app_id=172525162793917&channel_url=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html%3Ffb_xd_fragment%23%3F%3D%26cb%3Df28a71c94dc801a%26relation%3Dparent.parent%26transport%3Dfragment&display=hidden&extern=2&locale=en_US&next=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html%3Ffb_xd_fragment%23%3F%3D%26cb%3Dfe87a2d1d6790e%26relation%3Dparent%26transport%3Dfragment%26frame%3Df338d718ea4fb94%26result%3D%2522xxRESULTTOKENxx%2522&no_session=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html%3Ffb_xd_fragment%23%3F%3D%26cb%3Df1112883276cc4%26relation%3Dparent%26transport%3Dfragment%26frame%3Df338d718ea4fb94&no_user=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html%3Ffb_xd_fragment%23%3F%3D%26cb%3Df78784c47d1811%26relation%3Dparent%26transport%3Dfragment%26frame%3Df338d718ea4fb94&ok_session=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html%3Ffb_xd_fragment%23%3F%3D%26cb%3Df3f6b21712b062%26relation%3Dparent%26transport%3Dfragment%26frame%3Df338d718ea4fb94&sdk=joey&session_origin=1&session_version=3 HTTP/1.1 "
"2894","55.514976","89.101.160.4","10.20.0.165","DNS","123","Standard query response 0xb7da A cf.addthis.com CNAME vp3-cf.clearspring.com A 64.215.255.122"
"2895","55.515034","89.101.160.4","10.20.0.165","DNS","174","Standard query response 0x69d9 A l.addthiscdn.com CNAME wildcard.addthiscdn.com.edgekey.net CNAME e1303.c.akamaiedge.net A 2.19.149.115"
"2896","55.515657","10.20.0.165","2.19.149.115","TCP","62","1769  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2897","55.516402","10.20.0.165","64.215.255.122","TCP","62","1770  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2898","55.572705","2.19.149.115","10.20.0.165","TCP","62","80  >  1769 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM"
"2899","55.572749","10.20.0.165","2.19.149.115","TCP","54","1769  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2900","55.573192","10.20.0.165","2.19.149.115","HTTP","609","GET /live/t00/250lo.gif?1m4thzw&uid=4e942df0e57b7f7e&pub=irishtimes&rev=105369&jsl=32&si=4e942deedc7e01fb&ln=en&pc=tbx%2Cscopl&of=0&uf=1&ogt=description%2Csite_name%2Curl%2Ctype%3Darticle%2Ctitle%2Cimage&md=0&ct=1&lt=1609&pi=1&dp=www.irishtimes.com&fp=newspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html HTTP/1.1 "
"2901","55.610027","2.19.149.115","10.20.0.165","TCP","62","[TCP Retransmission] 80  >  1769 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM"
"2902","55.610057","10.20.0.165","2.19.149.115","TCP","54","[TCP Dup ACK 2899#1] 1769  >  80 [ACK] Seq=556 Ack=1 Win=65535 Len=0"
"2903","55.648419","64.215.255.122","10.20.0.165","TCP","60","80  >  1770 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"2904","55.648459","10.20.0.165","64.215.255.122","TCP","54","1770  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2905","55.648868","10.20.0.165","64.215.255.122","HTTP","610","GET /red/p.json?rb=2&gen=1000&gen=100&sid=4e942deedc7e01fb&callback=_ate.ad.hrr&pub=irishtimes&uid=4e942df0e57b7f7e&url=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html&ref=http%3A%2F%2Fwww.irishtimes.com%2F&1u07nfv HTTP/1.1 "
"2906","55.701835","2.19.149.115","10.20.0.165","TCP","60","80  >  1769 [ACK] Seq=1 Ack=556 Win=6660 Len=0"
"2907","55.701886","2.19.149.115","10.20.0.165","HTTP","444","HTTP/1.1 200 OK  (GIF89a)"
"2908","55.703691","69.63.190.10","10.20.0.165","TCP","60","80  >  1768 [ACK] Seq=1 Ack=1601 Win=5980 Len=0"
"2909","55.721500","69.63.190.10","10.20.0.165","TCP","1514","80  >  1767 [PSH, ACK] Seq=1 Ack=852 Win=5231 Len=1460 [TCP segment of a reassembled PDU]"
"2910","55.721565","69.63.190.10","10.20.0.165","TCP","1514","80  >  1767 [PSH, ACK] Seq=1461 Ack=852 Win=5231 Len=1460 [TCP segment of a reassembled PDU]"
"2911","55.721615","10.20.0.165","69.63.190.10","TCP","54","1767  >  80 [ACK] Seq=852 Ack=2921 Win=65535 Len=0"
"2912","55.721641","69.63.190.10","10.20.0.165","TCP","1514","80  >  1767 [PSH, ACK] Seq=2921 Ack=852 Win=5231 Len=1460 [TCP segment of a reassembled PDU]"
"2913","55.721688","69.63.190.10","10.20.0.165","TCP","60","80  >  1767 [PSH, ACK] Seq=4381 Ack=852 Win=5231 Len=1 [TCP segment of a reassembled PDU]"
"2914","55.721734","10.20.0.165","69.63.190.10","TCP","54","1767  >  80 [ACK] Seq=852 Ack=4382 Win=65535 Len=0"
"2915","55.721758","69.63.190.10","10.20.0.165","HTTP","275","HTTP/1.1 200 OK  (text/html)"
"2916","55.723750","10.20.0.165","69.63.190.10","HTTP","904","GET /plugins/like.php?action=like&api_key=172525162793917&channel_url=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html%3Ffb_xd_fragment%23%3F%3D%26cb%3Df85d66fff92064%26relation%3Dparent.parent%26transport%3Dfragment&extended_social_context=false&font=arial&href=http%3A%2F%2Fwww.irishtimes.com%2Fnewspaper%2Fbreaking%2F2011%2F1011%2Fbreaking5.html&layout=button_count&locale=en_US&node_type=1&ref=.TpQt7tC8lHw.like&sdk=joey&show_faces=false&width=90 HTTP/1.1 "
"2917","55.800992","64.215.255.122","10.20.0.165","HTTP","399","HTTP/1.1 200 OK  (text/javascript)"
"2918","55.801076","10.20.0.165","64.215.255.122","TCP","54","1770  >  80 [ACK] Seq=557 Ack=347 Win=65190 Len=0"
"2919","55.801828","10.20.0.165","64.215.255.122","TCP","54","1770  >  80 [FIN, ACK] Seq=557 Ack=347 Win=65190 Len=0"
"2920","55.829717","69.63.190.10","10.20.0.165","TCP","1513","80  >  1767 [ACK] Seq=4382 Ack=852 Win=5231 Len=1459 [TCP segment of a reassembled PDU]"
"2921","55.829769","69.63.190.10","10.20.0.165","HTTP","1303","HTTP/1.1 200 OK  (text/html)"
"2922","55.829826","10.20.0.165","69.63.190.10","TCP","54","1767  >  80 [ACK] Seq=852 Ack=7090 Win=65535 Len=0"
"2923","55.840978","10.20.0.165","89.101.160.4","DNS","79","Standard query 0x84d9 A static.ak.fbcdn.net"
"2924","55.873921","10.20.0.165","2.19.149.115","TCP","54","1769  >  80 [ACK] Seq=556 Ack=391 Win=65145 Len=0"
"2925","55.881175","89.101.160.4","10.20.0.165","DNS","218","Standard query response 0x84d9 A static.ak.fbcdn.net CNAME static.ak.facebook.com.edgesuite.net CNAME a749.g.akamai.net A 92.122.127.32 A 92.122.127.25 A 92.122.126.227 A 92.122.126.248"
"2926","55.882243","10.20.0.165","92.122.127.32","TCP","62","1772  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2927","55.883002","10.20.0.165","92.122.127.32","TCP","62","1771  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM"
"2928","55.903226","64.215.255.122","10.20.0.165","TCP","60","80  >  1770 [ACK] Seq=347 Ack=558 Win=6672 Len=0"
"2929","55.907040","92.122.127.32","10.20.0.165","TCP","62","80  >  1772 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM"
"2930","55.907076","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2931","55.907118","92.122.127.32","10.20.0.165","TCP","62","80  >  1771 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM"
"2932","55.907147","10.20.0.165","92.122.127.32","TCP","54","1771  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2933","55.907822","10.20.0.165","92.122.127.32","HTTP","811","GET /rsrc.php/v1/y7/r/ql9vukDCc4R.png HTTP/1.1 "
"2934","55.908194","10.20.0.165","92.122.127.32","HTTP","810","GET /rsrc.php/v1/yO/r/ybMz7qJAeaY.js HTTP/1.1 "
"2935","55.928722","69.63.190.10","10.20.0.165","TCP","60","80  >  1768 [ACK] Seq=222 Ack=2451 Win=6830 Len=0"
"2936","55.928776","69.63.190.10","10.20.0.165","TCP","1514","80  >  1768 [PSH, ACK] Seq=222 Ack=2451 Win=6830 Len=1460 [TCP segment of a reassembled PDU]"
"2937","55.929789","69.63.190.10","10.20.0.165","TCP","1514","80  >  1768 [PSH, ACK] Seq=1682 Ack=2451 Win=6830 Len=1460 [TCP segment of a reassembled PDU]"
"2938","55.929873","10.20.0.165","69.63.190.10","TCP","54","1768  >  80 [ACK] Seq=2451 Ack=3142 Win=65535 Len=0"
"2939","55.929904","69.63.190.10","10.20.0.165","TCP","1514","80  >  1768 [PSH, ACK] Seq=3142 Ack=2451 Win=6830 Len=1460 [TCP segment of a reassembled PDU]"
"2940","55.929993","69.63.190.10","10.20.0.165","TCP","276","80  >  1768 [PSH, ACK] Seq=4602 Ack=2451 Win=6830 Len=222 [TCP segment of a reassembled PDU]"
"2941","55.930039","10.20.0.165","69.63.190.10","TCP","54","1768  >  80 [ACK] Seq=2451 Ack=4824 Win=65535 Len=0"
"2942","55.942936","92.122.127.32","10.20.0.165","TCP","60","80  >  1771 [ACK] Seq=1 Ack=758 Win=6813 Len=0"
"2943","55.945340","92.122.127.32","10.20.0.165","TCP","1514","80  >  1771 [ACK] Seq=1 Ack=758 Win=6813 Len=1460 [TCP segment of a reassembled PDU]"
"2944","55.945397","92.122.127.32","10.20.0.165","HTTP","72","HTTP/1.1 200 OK  (PNG)"
"2945","55.945456","10.20.0.165","92.122.127.32","TCP","54","1771  >  80 [ACK] Seq=758 Ack=1479 Win=65535 Len=0"
"2946","55.946886","92.122.127.32","10.20.0.165","TCP","60","80  >  1772 [ACK] Seq=1 Ack=757 Win=6804 Len=0"
"2947","55.946940","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=1 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2948","55.947926","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=1461 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2949","55.947979","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=2921 Win=65535 Len=0"
"2950","55.948019","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=2921 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2951","55.948081","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=4381 Win=65535 Len=0"
"2952","55.948109","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=4381 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2953","55.972065","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=5841 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2954","55.972131","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=7301 Win=65535 Len=0"
"2955","55.972161","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=7301 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2956","55.972221","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=8761 Win=65535 Len=0"
"2957","55.972249","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=8761 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2958","55.973591","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=10221 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2959","55.973642","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=11681 Win=65535 Len=0"
"2960","55.973669","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=11681 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2961","55.973724","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=13141 Win=65535 Len=0"
"2962","56.001991","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=13141 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2963","56.002560","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=14601 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2964","56.002606","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=16061 Win=65535 Len=0"
"2965","56.004326","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=16061 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2966","56.004394","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=17521 Win=65535 Len=0"
"2967","56.006929","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=17521 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2968","56.006980","92.122.127.32","10.20.0.165","TCP","1514","80  >  1772 [ACK] Seq=18981 Ack=757 Win=6804 Len=1460 [TCP segment of a reassembled PDU]"
"2969","56.007026","10.20.0.165","92.122.127.32","TCP","54","1772  >  80 [ACK] Seq=757 Ack=20441 Win=65535 Len=0"
